எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
,0,,அமர்ந்து,மகிழ்ந்து,,,
,,நல்விருந்,நல்,நல்ல,நல்ல,நல்,
,,,விருந்து,விருந்தினர்,விருந்து,,
,0,தோம்புவா,ஓம்புவான்,உபசரிப்பவனின்,ஓம்பு,,
,0,னில்,இல்,இல்லம்,இல்லம்,,
,,,,,,,
85,,வித்துமிடல்,வித்தும்,வித்து - விதை,வித்து,,
,,,இடல்,இடுதல்,இடு,,
,,வேண்டுங்,வேண்டும்,வேண்டும் கொல்லோ - வேண்டுமோ!,வேண்டும்,,
,0,கொல்லோ,கோல்லோ,,,,
,,விருந்தோம்பி,விருந்து,விருந்தினர்,விருந்து,,
,0,,ஓம்பி,"உபசரித்து, உண்பித்து",ஓம்பு,,
,0,மிச்சின்,மிச்சின்,மிச்சத்தை,மிச்சம்,,
,0,மிசைவான்,மிசைவான்,உண்பான்,,,
,0,புலம்,புலம்,விளைநிலம்?,,,
,,,,,,,
86,,செல்விருந்,செல்,வந்து செல்லவிருக்கும்,செல்,,
,,,விருந்து,விருந்தினர்,விருந்து,,
,0,தோம்பி,ஓம்பி,உபசரித்து,ஓம்பு,,
,,வருவிருந்து,வரு,இனி வரும்,வா,வருதல்,
,,,விருந்து,விருந்தினரை,விருந்து,,
,,பார்த்திருப்பா,பார்த்து,எதிர்பார்த்து,பார்,,
,,,இருப்பான்,இருப்பவன்,இரு,,
,,னல்விருந்து,நல்,நல்ல,நல்ல,,
,,,விருந்து,விருந்தினர்,விருந்து,,
,,வானத்,வானத்து,வானத்தில்,வான்,வானோர்,
,,தவர்க்கு,அவர்க்கு,இருப்பவருக்கு,அவர்,,
,,,,,,,
87,0,இனைத்துணைத்,இனை,,,,
,0,,துணைத்து,,,,
,,தென்பதொன்,என்பது,,என்பது,,
,,,ஒன்று,,ஒன்று,,
,,றில்லை,இல்லை,,இல்லை,,
,,விருந்தின்,விருந்தின்,விருந்தினரின்,விருந்து,,
,0,றுணைத்,துணை,,,,
,0,துணைவேள்,துணை,,,,
,0,,வேள்வி,,,,
,,விப்பயன்,பயன்,,பயன்,,
,,,,,,,
88,0,பரிந்தோம்பிப்,பரிந்து,பரிந்து - வருந்தி?,,,
,0,,ஓம்பி,ஓம்பி - காப்பாற்றி?,,,
,,பற்றற்றே,பற்று,,பற்று,,
,0,,அற்றேம்,இல்லாதவராயினேன்,அற்று,,
,,மென்பர்,என்பர்,,என்பர்,,
,,விருந்தோம்பி,விருந்து,விருந்தினர,விருந்து,,
,0,,ஓம்பி,"உபசரித்து, காப்பாற்றி",,,
,0,வேள்வி,வேள்வி,வேள்வி - இங்கு ஆகுபெயராய் உள்ளது,,,
,0,தலைப்படா,தலை,"தலைபடாதார் - பயனை அடையாதவர், செயல்படாதவர், ஈடுபடாதவர்",தலை,,
,,,படாதார்,,படு,,
,,தார்,,,,,
,,,,,,,
89,,உடைமை,உடைமை,உடைமையுள் - பொருள் இருக்கும் காலக்கட்டத்தில்,உடை,உடைமை,
,,யுளின்மை,உள்,,உள்,,
,,,இன்மை,"வறுமை, இல்லாதிருக்கும் நிலை",இன்மை,,
,,விருந்தோம்ப,விருந்து,விருந்தினர்,விருந்து,,
,0,,ஓம்பல்,"உபசரித்தல், காத்தல்",,,
,0,லோம்பா,ஓம்பா,"உபசரிக்காமல் இருக்கும் தன்மை, காக்காமல் இருக்கும் தன்மை",,,
,,மடமை,மடமை,"பேதைமை, அறிவில்லாமை",மடமை,,
,,மடவார்க,மடவார்,அறிவில்லாதவர்,மடவார்,,
,,,கண்,இடத்தே,கண்,,
,,ணுண்டு,உண்டு,,உண்டு,,
,,,,,,,
90,,மோப்பக்,மோப்ப,"மோப்பம் செய்ய, முகர்ந்து பார்க்க",மோப்பம்,,
,,குழையு,குழையும்,வாடும்,குழை,,
,0,மனிச்ச,அனிச்சம்,அனிச்சம் பூ,அனிச்சம்,,
,,முகந்திரிந்து,முகம்,,முகம்,,
,,,திரிந்து,வேறுபட்டு,திரி,,
,,நோக்கக்,நோக்க,பார்க்க,நோக்கு,,
,,குழையும்,குழையும்,வாடும்,குழை,,
,,விருந்து,விருந்து,விருந்தினர,விருந்து,,
