எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
81,,இருந்தோம்பி,இருந்து,,இரு,இருத்தல்,
,0,,ஓம்பி,"பாதுகாத்தல், உபசரிப்பு (host)",ஓம்பு,,
,,யில்வாழ்வ,இல்வாழ்வது,"இல்லத்தில் வாழ்வது, இல்வாழ்க்கையில் இருத்தல்",இல்வாழ்க்கை,இல்லம்,வாழ்
,,தெல்லாம்,எல்லாம்,,எல்லாம்,,
,0,விருந்தோம்பி,விருந்து,விருந்தினர்?,விருந்து,,
,0,,ஓம்பி,"பாதுகாத்தல், உபசரிப்பு (host)",ஓம்பு,,
,0,வேளாண்மை,வேளாண்மை,"விவசாயம், உழவு, பராமரிப்பு?",வேளாண்மை,,
,,செய்தற்,செய்தல்,,செய்,,
,,பொருட்டு,பொருட்டு,,பொருட்டு,,
,,,,,,,
82,0,விருந்து,விருந்து,விருந்தினர்?,விருந்து,,
,0,புறத்ததாத்,புறத்ததா,,,,
,,தானுண்டல்,தான்,,தான்,தன்,
,,,உண்டல்,,உண்,,
,,சாவா,சாவா,"சாவாத, சாவைக்கொடுக்காத",சாவு,,
,,மருந்தெனினும்,மருந்து,,மருந்து,,
,,,எனினும்,,எனின்,,
,,வேண்டற்பாற்,வேண்டல்,வேண்டல்பாற்று - விரும்பத்தக்கது,வேண்டு,வேண்டல்,
,0,,பாற்று,,,,
,,றன்று,அன்று,"இல்லை, அல்ல",அல்ல,அன்று,
,,,,,,,
83,,வருவிருந்து,வரு,வருவிருந்து - தன்னை நோக்கி வரும் விருந்து,வா,,
,,,விருந்து,,விருந்து,,
,0,வைகலுமோம்,வைகலும்,"நாளுநாளும், தினந்தினமும்",,,
,,புவான்,ஓம்புவான்,உபசரிப்பவன்,ஓம்பு,,
,,வாழ்க்கை,வாழ்க்கை,,வாழ்க்கை,,
,0,பருவத்து,பருவத்து,,,,
,,பாழ்படுத,பாழ்படுதல்,"பாழ்படுதல், கெட்டுப்போதல்",பாழ்படு,,
,0,லின்று,இன்று,இல்லை,,,
,,,,,,,
84,,அகனமர்ந்து,அகன்,"அகம், உள்ளம், மனம்",அகம்,,
,0,,அமர்ந்து,மகிழ்ந்து,,,
,0,செய்யா,செய்யாள்,"திருமகள், இலக்குமி",,,
,,ளூறையு,உறையும்,இருக்கும்,உறை,,
,,முகனமர்ந்து,முகன்,முகம்,முகம்,,
