எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
31,,சிறப்பீனுஞ்,சிறப்பு,,சிறப்பு,,
,0,,ஈனும்,தரும்,,,
,,செல்வமு,செல்வமும்,,செல்வம்,,
,0,மீனு,ஈனும்,தரும்,,,
,,மறத்தினூஉங்,அறத்தின்,,அறம்,,
,0,,ஊங்கு,,,,
,,காக்க,ஆக்கம்,,ஆக்கம்,,
,,மெவனோ,எவனோ,,எவன்,,
,,வுயிர்க்கு,உயிர்க்கு,,உயிர்,,
,,,,,,,
32,,அறத்தினூஉங்,அறத்தின்,,அறம்,,
,0,,ஊங்கு,,,,
,,காக்கமு,ஆக்கமும்,,ஆக்கம்,,
,,மில்லை,இல்லை,,இல்லை,,
,,யதனை,அதனை,,அதன்,அது,
,,மறத்தலி,மறத்தலின்,,மற,மறத்தல்,
,0,னூங்கில்லை,ஊங்கு,,,,
,,,இல்லை,,இல்லை,,
,,கேடு,கேடு,,கேடு,,
,,,,,,,
33,0,ஒல்லும்,ஒல்லும்,,,,
,,வகையா,வகையால்,,வகை,,
,,லறவினை,அறம்,,அறம்,,
,,,வினை,,வினை,,
,0,யோவாதே,ஓவாதே,,,,
,,செல்லும்வா,செல்லும்,,செல்,,
,0,,வாய்,,,,
,,யெல்லாஞ்,எல்லாம்,,எல்லாம்,,
,,செயல்,செயல்,,செயல்,,
,,,,,,,
34,,மனத்துக்கண்,மனது,மனதின்கண்,மனம்,,
,0,,கண்,,,,
,,மாசில,மாசு,,மாசு,,
,,,இலன்,,இல்லை,,
,0,னாத,ஆதல்,,,,
,,லனைத்தற,அனைத்து,,அனைத்து,,
,,,அறன்,,அறம்,அறன்,
,0,னாகுல,ஆகுல,,,,
,0,நீர,நீர,,,,
,0,பிற,பிற,,,,
,,,,,,,
35,0,அழுக்கா,அழுக்காறு,பொறாமை,,,
,,றவாவெகுளி,அவா,ஆசை,அவா,,
,,,வெகுளி,"சினம், கோபம்",வெகுளி,,
,0,யின்னாச்,இன்னா,இன்னாச்சொல்,,,
,,சொன்னான்கு,சொல்,,சொல்,,
,,,நான்கும்,,நான்கு,,
,,மிழுக்கா,இழுக்கா,,இழுக்கு,,
,0,வியன்ற,இயன்றது,,,,
,,தறம்,அறம்,,அறம்,,
,,,,,,,
36,,அன்றறிவா,அன்று,,அன்று,,
,0,,அறிவாம்,,,,
,0,மென்னா,என்னாது,எண்ணாது?,,,
,,தறஞ்செய்க,அறம்,,அறம்,,
,,,செய்க,,செய்,,
,,மற்றது,மற்றது,,மற்ற,,
,0,பொன்றுங்காற்,பொன்றும்,,,,
,0,,கால்,,,,
,0,பொன்றாத்,பொன்றா,,,,
,0,துணை,துணை,,,,
,,,,,,,
37,,அறத்தா,அறத்து,,அறம்,,
,0,,ஆறு,பயன்,,,
,,றிதுவென,இது,,இது,,
,,,என,,என,,
,,வேண்டா,வேண்டா,,வேண்டாம்,,
,0,சிவிகை,சிவிகை,,,,
,0,பொறுத்தானோ,பொறுத்தான்,சுமப்பவன்,,,
,0,,ஓடு,உடன்,,,
,0,டூர்ந்தா,ஊர்ந்தான்,,,,
,,னிடை,இடை,இடையே,இடை,,
,,,,,,,
38,,வீழ்நாள்,வீழ்,,வீழ்,,
,,,நாள்,,நாள்,,
,0,படாஅமை,படாமை,,,,
,,நன்றாற்றி,நன்று,,நன்று,,
,,,ஆற்றின்,,ஆற்று,,
,,னஃதொருவன்,அஃது,,அது,அஃது,
,,,ஒருவன்,,ஒருவன்,,
,,வாழ்நாள்,வாழ்,,வாழ்,,
,,,நாள்,,நாள்,,
,,வழியடைக்குங்,வழி,,வழி,,
,,,அடைக்கும்,,அடை,,
,,கல்,கல்,,கல்,,
,,,,,,,
39,,அறத்தான்,அறத்தான்,"அறத்தால், அறத்தினால்",அறம்,,
,,வருவதே,வருவதே,,வா,வருதல்,
,,யின்பமற்,இன்பம்,,இன்பம்,,
,,,மற்ற,,மற்ற,,
,,றெல்லாம்,எல்லாம்,,எல்லாம்,,
,0,புறத்த,புறத்த,,,,
,,புகழு,புகழும்,,புகழ்,,
,,மில,இல,,இல்லை,,
,,,,,,,
40,0,செயற்பால,செயற்பாலது,செய்தற்பான்மையானது,,,
,0,தோரு,ஓரும்,(அசைச்சொல்),,,
,,மறனே,அறனே,,அறன்,,
,,யொருவற்,ஒருவற்கு,,ஒருவர்,,
,0,குயற்பால,உயற்பாலது,ஒழிதற்பான்மையானது,,,
,0,தோரும்,ஓரும்,(அசைச்சொல்),,,
,,பழி,பழி,,பழி,,
