எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
11,,வானின்,வான்,,வான்,,
,,,நின்று,,நில்,,
,,றுலகம்,உலகம்,,உலகம்,,
,,வழங்கிவருத,வழங்கி,,வழங்கு,,
,,,வருதலால்,"வருவதால், வருதல்",வா,,
,0,லாற்,,,,,
,,றானமிழ்த,தான்,,தான்,தன்,
,,,அமிழ்தம்,,அமிழ்தம்,,
,,மென்றுணரற்,என்று,,என்று,,
,,,உணரற்,உணர்,உணர்,,
,0,பாற்று,பாற்று,,,,
,,,,,,,
12,,துப்பார்க்குத்,துப்பார்க்கு,உண்பார்க்கு,துப்பார்,,
,,துப்பாய,துப்பு,உணவு,துப்பு,,
,0,,ஆய,,,,
,,துப்பாக்கித்,துப்பு,உணவு,துப்பு,,
,,,ஆக்கி,,ஆக்கு,,
,,துப்பார்க்குத்,துப்பார்க்கு,உண்பார்க்கு,துப்பார்,,
,,துப்பாய,துப்பு,உணவு,துப்பு,,
,0,,ஆயதூஉம்,"ஆவதும், இருப்பதும், நிற்பதும்",,,
,0,தூஉம்,,,,,
,,மழை,மழை,,மழை,,
,,,,,,,
13,,விண்ணின்று,விண்,,விண்,,
,,,இன்று,,இன்று,,
,,பொய்ப்பின்,பொய்ப்பின்,"பொய்க்குமெனில், பொய்த்துப்போகுமெனில்",பொய்,,
,,விரிநீர்,விரி,"சுற்றிவிரிந்த, சூழ்ந்த, பரந்துவிரிந்த, பரந்த",விரி,,
,,,நீர்,,நீர்,,
,,வியனுலகத்,வியன்,அகன்ற,வியன்,,
,,,உலகத்து,,உலகம்,,
,,துண்ணின்,உள்,,உள்,,
,,,நின்று,,நின்று,,
,0,றுடற்றும்,உடற்றும்,,,,
,,பசி,பசி,,பசி,,
,,,,,,,
14,,ஏரி,ஏரின்,,ஏர்,,
,,னுழாஅ,உழாஅர்,"உழமாட்டார், உழார்",உழு,,
,,ருழவர்,உழவர்,,உழவர்,,
,,புயலென்னும்,புயல்,,புயல்,,
,,,என்னும்,,என்னும்,,
,0,வாரி,வாரி,“வருவாய் தருவது”,,,
,,வளங்குன்றிக்,வளம்,,வளம்,,
,,,குன்றி,,குன்று,குன்றிய,
,,கால்,கால்,நின்றது,கால்,,
,,,,,,,
15,,கெடுப்பதூஉங்,கெடுப்பதூஉம்,கெடுப்பதும்,கெடு,,
,,கெட்டார்க்குச்,கெட்டார்க்கு,,கெட்டார்,,
,,சார்வாய்,சார்,துணை,சார்,,
,0,,வாய்,"யாய், ஆய், ஆக",,,
,,மற்றாங்கே,மற்று,மற்றபடி,மற்று,,
,,,ஆங்கே,,ஆங்கே,அங்கு,
,,யெடுப்பதூஉ,எடுப்பதூஉம்,எடுப்பதும்,எடு,,
,,மெல்லா,எல்லாம்,,எல்லாம்,,
,,மழை,மழை,,மழை,,
,,,,,,,
16,,விசும்பிற்,விசும்பின்,"விசும்பு, வானம்",விசும்பு,,
,,றுளிவீழி,துளி,,துளி,,
,,,வீழின்,,வீழ்,,
,,னல்லால்மற்,அல்லால்,அல்லாது,அல்லாது,,
,,,மற்று,மற்றபடி,மற்று,மற்ற,
,,றாங்கே,ஆங்கே,,ஆங்கே,அங்கு,
,,பசும்புற்,பசுமை,,பசுமை,,
,,,புல்,,புல்,,
,,றலைகாண்,தலை,,தலை,,
,,,காண்பது,காண்,காண்,,
,,பரிது,அரிது,,அரிது,,
,,,,,,,
17,,நெடுங்கடலுந்,நெடும்,,நெடுமை,நெடும்,
,,,கடலும்,,கடல்,,
,,தன்னீர்மை,தன்,,தன்,,
,,,நீர்மை,,நீர்,,
,,குன்றுந்,குன்றும்,,குன்று,குன்றிய,
,0,தடிந்தெழிலி,தடிந்து,,,,
,0,,எழிலி,மேகம்?,,,
,,தானல்கா,தான்,,தான்,,
,,,நல்காது,,நல்கு,,
,,தாகி,ஆகி,"ஆகிவிடுமாயின், ஆகிவிட்டால்",ஆகு,,
,,விடின்,விடின்,விடுமாயின்,விடு,,
,,,,,,,
18,0,சிறப்பொடு,சிறப்பொடு,,சிறப்பு,,
,,பூசனை,பூசனை,,பூசனை,,
,,செல்லாது,செல்லாது,,செல்லாது,செல்லும்,
,,வானம்,வானம்,,வானம்,,
,0,வறக்குமேல்,வறக்குமேல்,,,,
,,வானோர்கு,வானோர்க்கும்,,வானோர்,,
,,மீண்டு,ஈண்டு,,ஈண்டு,,
,,,,,,,
19,,தானந்,தானம்,,தானம்,,
,,தவமிரண்டுந்,தவம்,,தவம்,,
,,,இரண்டும்,,இரண்டு,,
,,தங்கா,தங்கா,தங்காது,தங்கு,,
,,வியனுலகம்,வியன்,அகன்ற,வியன்,,
,,,உலகம்,,உலகம்,,
,,வானம்,வானம்,,வானம்,,
,,வழங்கா,வழங்காது,,வழங்கு,,
,,தெனின்,எனின்,,எனின்,,
,,,,,,,
20,,நீரின்,நீர்,,நீர்,,
,0,,இன்றி,நீர்+இன்று+அமையாது? நீர்+இன்றி+அமையாது?,இன்றி,,
,,றமையா,அமையாது,,அமை,,
,,துலகெனின்,உலகம்,,உலகம்,,
,,,எனின்,,எனின்,,
,,யார்யார்க்கும்,யார்,,யார்,,
,,,யார்க்கும்,,யார்,,
,,வானின்,வான்,வான்+இன்று+அமையாது? வான்+இன்றி+அமையாது?,வான்,,
,0,,இன்றி,,இன்றி,,
,,றமையா,அமையாது,,அமை,,
,,தொழுக்கு,ஒழுக்கம்,,ஒழுக்கம்,,
