எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
101,,செய்யாமற்,செய்யாமல்,நாம் பிறர்க்கு ஏதும் செய்யாமல்,செய்,,
,,செய்த,செய்த,அவர் செய்த,செய்,,
,,வுதவிக்கு,உதவிக்கு,,உதவி,,
,,வையகமும்,வை,வையகமும் (வையம் + அகம்) - உலகமும்,வையம்,வை,
,,,அகமும்,,அகம்,,
,,வானகமு,வான்,வானகமும் (வானம் + அகம்) - வான் உலகமும்,வானம்,வான்,
,,,அகமும்,,அகம்,,
,,மாற்ற,ஆற்றல்,,ஆற்றல்,,
,,லரிது,அரிது,,அரிது,,
,,,,,,,
102,,காலத்தி,காலத்தினால்,,காலம்,,
,,னாற்செய்த,செய்த,,செய்,,
,,நன்றி,நன்றி,,நன்றி,,
,,சிறிதெனினு,சிறிது,,சிறிது,,
,0,,எனினும்,,எனின்,எனினும்,
,,ஞாலத்தின்,ஞாலத்தின்,உலகம்,ஞாலம்,,
,0,மாணப்,மாண,"மாண், மாட்சிமை, மிகவும்?",மாண்,,
,,பெரிது,பெரிது,,பெரிது,,
,,,,,,,
103,,பயன்றூக்கார்,பயன்,,பயன்,,
,0,,தூக்கார்,"தூக்கி பார்க்காதவர், உயர்த்தி பார்க்காதவர், ஆராய்ந்து பார்க்காதவர்",தூக்கு,தூக்குதல்,
,,செய்த,செய்த,,செய்,,
,,வுதவி,உதவி,,உதவி,,
,0,நயன்றூக்கி,நயன்,,,,
,0,,தூக்கின்,"தூக்கி பார்ப்பின், ஆராய்ந்து பார்ப்பின்",தூக்கு,,
,,னன்மை,நன்மை,,நன்மை,,
,,கடலிற்,கடலின்,,கடல்,,
,,பெரிது,பெரிது,,பெரிது,,
,,,,,,,
104,0,தினைத்துணை,தினை,,தினை,,
,0,,துணை,,துணை,,
,,நன்றி,நன்றி,,நன்றி,,
,,செயினும்,செயினும்,,செய்,,
,0,பனைத்துணையாக்,பனை,,பனை,,
,0,,துணையா,,துணை,,
,,கொள்வர்,கொள்வர்,,கொள்,,
,,பயன்றெரி,பயன்,,பயன்,,
,,,தெரிவார்,தெரிந்தவர்,தெரி,,
,,வார்,,,,,
,,,,,,,
105,,உதவி,உதவி,,உதவி,,
,0,வரைத்தன்,வரைத்து,,,,
,0,,அன்று,,,,
,,றுதவி,உதவி,,உதவி,,
,,யுதவி,உதவி,,உதவி,,
,,செயப்பட்டார்,செயப்,"செய்யப்பட்டவர், உதவியைப் பெற்றவர்",செய்,,
,,,பட்டார்,,படு,,
,0,சால்பின்,சால்பின்,,சால்பு,,
,0,வரைத்து,வரைத்து,,,,
,,,,,,,
106,0,மறவற்க,மறவு,மறவற்க – மறவாது இருக்க,மற,,
,0,,அற்க,,,,
,,மாசற்றார்,மாசு,,மாசு,,
,,,அற்றார்,,அல்ல,,
,0,கேண்மை,கேண்மை,உறவு? நட்பு?,கேண்மை,,
,0,துறவற்க,துறவு,துறவற்க – விடாது இருக்க,துற,,
,0,,அற்க,,,,
,,துன்பத்துட்,துன்பத்து,,துன்பம்,,
,,,உள்,,உள்,,
,0,டுப்பாயார்,துப்பாயார்,,,,
,,நட்பு,நட்பு,,நட்பு,,
,,,,,,,
107,0,எழுமை,எழுமை,,,,
,,யெழுபிறப்பு,எழு,,ஏழு,,
,,,பிறப்பும்,,பிறப்பு,,
,0,முள்ளுவர்,உள்ளுவர்,நினைப்பர்?,,,
,0,தங்கண்,தன்,தன்/தன்?,தன்,தம்,
,0,,கண்,இடம்,கண்,,
,,விழுமந்,விழுமம்,துன்பம்,விழுமம்,,
,,துடைத்தவர்,துடைத்தவர்,நீக்கியவர்,துடை,,
,,நட்பு,நட்பு,,நட்பு,,
,,,,,,,
108,,நன்றி,நன்றி,,நன்றி,,
,,மறப்பது,மறப்பது,,மற,,
,,நன்றன்று,நன்று,,நன்று,நல்ல,நல்
,,,அன்று,,அன்று,அல்ல,அல்
,,நன்றல்ல,நன்று,நன்றல்லது – நன்று அல்லாதது,நன்று,,
,,,அல்லது,"அற்றது, இல்லாதது",அல்ல,,
,,தன்றே,அன்றே,,அன்று,,
,,மறப்பது,மறப்பது,,மற,,
,,நன்று,நன்று,,நன்று,,
,,,,,,,
109,0,கொன்றன்ன,கொன்றன்ன,,,,
,0,வின்னா,இன்னா,வெறுக்கப்படும் அவைகள்?,இன்னா,,
,,செயினு,செயினும்,,செய்,,
,,மவர்செய்த,அவர்,,அவர்,,
,,,செய்து,,செய்,,
,,வொன்றுநன்,ஒன்று,,ஒன்று,,
,,,நன்று,,நன்று,,
,0,றுள்ளக்,உள்ளக்,நினைக்க,உள்ளம்,உள்ள,
,,கெடும்,கெடும்,,கெடு,,
,,,,,,,
110,,எந்நன்றி,எந்,,எந்த,,
,,,நன்றி,,நன்றி,,
,,கொன்றார்க்கு,கொன்றார்க்கும்,,கொல்,,
,0,முய்வுண்டா,உய்வு,,உய்வு,,
,,,உண்டாம்,,உண்டு,,
,0,முய்வில்லை,உய்வு,,உய்வு,,
,,,இல்லை,,இல்லை,,
,,செய்ந்நன்றி,செய்,,செய்,,
,,,நன்றி,,நன்றி,,
,,கொன்ற,கொன்ற,,கொல்,,
,0,மகற்கு,மகற்கு,,மகன்,மகள்,
