எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
,,,அது,(ஆர்வமுடைமையைக் குறிக்கும்),,,
,0,வீனு,ஈனும்,"தருதல், கொடுத்தல்?",,,
,0,நண்பென்னு,நண்பு,நட்பு?,,,
,,,என்னும்,,என்னும்,,
,0,நாடாச்,நாடா,,,,
,,சிறப்பு,சிறப்பு,,சிறப்பு,,
,,,,,,,
75,,அன்புற்,அன்பு,,அன்பு,,
,0,,உற்று,"உடையவர், கொண்டிருப்பவர்",,,
,,றமர்ந்த,அமர்ந்த,,அமர்,அமர்தல்,
,0,வழக்கென்ப,வழக்கு,,,,
,,,என்ப,என்பது,என்பது,,
,,வையகத்,வையகத்து,,வையகம்,,
,,தின்புற்றா,இன்பு,இன்புற்றார் - இன்பம் உடையவர்,இன்பம்,,
,0,,உற்றார்,"உடையவர், கொண்டிருப்பவர்",,,
,,ரெய்துஞ்,எய்தும்,அடையும்,எய்து,,
,,சிறப்பு,சிறப்பு,,சிறப்பு,,
,,,,,,,
76,,அறத்திற்கே,அறத்திற்கே,அறத்திற்கு,அறம்,,
,,யன்புசார்,அன்பு,,அன்பு,,
,,,சார்பு,துணையானது,சார்,சார்பு,
,,பென்ப,என்ப,என்பது,என்பது,என்ப,
,,வறியார்,அறியார்,அறியாதவர்,அறியார்,அறி,
,0,மறத்திற்கு,மறத்திற்கும்,"மறம் - வீரம், வீரத்திற்கும்",மறம்,,
,,மஃதே,அஃதே,அதுவே,அது,,
,,துணை,துணை,துணை,துணை,,
,,,,,,,
77,0,என்பி,என்பு,என்பு - உடல்/எலும்பு?,,,
,0,,இல்,இல்லாத,இல்லை,,
,0,லதனை,அதனை,,அது,,
,,வெயிற்போலக்,வெயில்,,வெயில்,,
,,,போல,,போல்,,
,,காயுமே,காயுமே,,காய்தல்,,
,,யன்பி,அன்பு,,அன்பு,,
,0,,இல்,இல்லாத,இல்லை,,
,0,லதனை,அதனை,,அது,,
,,யறம்,அறம்,,அறம்,,
,,,,,,,
78,,அன்பகத்,அன்பு,,அன்பு,,
,,,அகத்து,"உள்ளத்தில், அகத்தில்",அகம்,,
,,தில்லா,இல்லா,இல்லாத,இல்லை,,
,,வுயிர்வாழ்க்கை,உயிர்,,உயிர்,,
,,,வாழ்க்கை,,வாழ்க்கை,,
,0,வன்பாற்கண்,வன்பால்,வளமற்ற பாலை நிலம்,,,
,0,,கண்,"இடத்தில், வழியே",,,
,0,வற்றன்,வற்றல்,"வற்றிய, காய்ந்த",,,
,,மரந்தளிர்த்,மரம்,,மரம்,,
,0,,தளிர்ந்து,முளைத்து,தளிர்,,
,0,தற்று,அற்று,போன்றது?,,,
,,,,,,,
79,,புறத்துறுப்,புறத்து,வெளியே,புறம்,,
,,,உறுப்பு,,உறுப்பு,,
,,பெல்லா,எல்லாம்,,எல்லாம்,,
,0,மெவன்செய்யும்,எவன்,என்ன?,,,
,,,செய்யும்,,செய்,,
,0,யாக்கை,யாக்கை,உடம்பு?,,,
,,யகத்துறுப்,அகத்து,உள்ளம்,அகம்,,
,,,உறுப்பு,,உறுப்பு,,
,,பன்பி,அன்பு,,அன்பு,,
,,,இல்,இல்லாத,இல்லை,,
,,லவர்க்கு,அவர்க்கு,,அவர்,,
,,,,,,,
80,,அன்பின்,அன்பின்,,அன்பு,,
,0,வழிய,வழியது,அதன் வழியில்,,,
,,துயிர்நிலை,உயிர்,,உயிர்,,
,,,நிலை,நிலைபெற்றது,நிலை,,
,,யஃதிலார்க்,அஃது,அது,அஃது,அது,
,,,இலார்க்கு,இல்லாதவர்க்கு,இல்லை,இலார்,
,0,கென்புதோல்,என்பு,எலும்பு?,,,
,,,தோல்,தோல்,தோல்,,
,,போர்த்த,போர்த்த,போர்த்திய,போர்த்து,,
,,வுடம்பு,உடம்பு,,உடம்பு,,
