எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
71,,அன்பிற்கு,அன்பிற்கும்,,அன்பு,,
,,முண்டோ,உண்டோ,,உண்டு,,
,,வடைக்குந்தா,அடைக்கும்,,அடை,,
,,,தாழ்,,தாழ்,,
,0,ழார்வலர்,ஆர்வலர்,அன்புடையவர்?,,,
,0,புன்கணீர்,புல்,புல்லிய?,,,
,0,,கண்,கண் + நீர் = கணீர்?,கண்,,
,0,,நீர்,நீர்,நீர்,,
,0,பூச,பூசல்,,,,
,,றரும்,தரும்,,தருதல்,தா,
,,,,,,,
72,,அன்பிலா,அன்பு,,அன்பு,அன்பிலார்,
,,,இலார்,இல்லாதவர்,இல்லை,இலார்,
,,ரெல்லாந்,எல்லாம்,"அனைத்தும், எல்லாமும்",எல்லாம்,,
,,தமக்குரிய,தமக்கு,தமக்கே,தமக்கு,,
,0,,உரியர்,"உரிமையுடையது, உரியவராதர்",உரிமை,உரிது,
,,ரன்புடையா,அன்பு,,அன்பு,அன்புடையார்,
,,,உடையார்,"உடையவர், கொண்டவர்",உடை,,
,0,ரென்பு,என்பும்,"(ஆகுபெயர்) தம் உடம்பாலும், தம் உடம்பும், எலும்பும்?",,,
,0,முரியர்,உரியர்,"உரிமையுடையது, உரியவராதர்",உரிமை,உரிது,
,,பிறர்க்கு,பிறர்க்கு,பிறருக்கு,பிறர்,,
,,,,,,,
73,,அன்போ,அன்போடு,,அன்பு,,
,0,டியைந்த,இயைந்த,பொருந்திய?,,,
,0,வழக்கென்ப,வழக்கு,,,,
,,,என்ப,என்பது,என்பது,,
,0,வாருயிர்க்,ஆர்,(எ.கா சொல்: ஆருயிர் நண்பன்) அரிய?,,,
,,,உயிர்க்கு,,உயிர்,,
,0,கென்போ,என்போடு,"உடலோடு, என்பு - உடல், எலும்பு?",,,
,0,டியைந்த,இயைந்த,பொருந்திய?,,,
,,தொடர்பு,தொடர்பு,,தொடர்பு,,
,,,,,,,
74,,அன்பீனு,அன்பு,,அன்பு,,
,0,,ஈனும்,"தருதல், கொடுத்தல்?",,,
,,மார்வ,ஆர்வம்,ஆர்வமுடைமை - ஆர்வம் கொண்டிருக்கும் தன்மை,ஆர்வம்,ஆர்வமுடைமை,
,,முடைமையது,உடைமை,,உடை,உடைமை,
