எண்,குறிப்பு,சீர்,சொல்,பொருள்,சொல்_மூலம் 1,சொல்_மூலம் 2,சொல்_மூலம் 3
91,,இன்சொலா,இன்சொல்,இன்சொல் - இனிமையான சொல்,இன்சொல்,இனிமை,சொல்
,0,,ஆல்,ஆல் - இன்சொல்லினால்?,,,
,0,லீர,ஈரம்,"நீரினால் நனைந்த நிலை, அன்பைக் குறிக்கும்?",,,
,0,மளைஇப்,அளை,கலந்து?,,,
,0,,இப்,,,,
,0,படிறிலவாஞ்,படிறு,"வஞ்சம், வஞ்சனை?",,,
,,,இலவாம்,இல்லாமல் இருத்தல்,இல்லை,,
,,செம்பொருள்,செம்மை,,செம்மை,,
,,,பொருள்,,பொருள்,,
,,கண்டார்வாய்ச்,கண்டார்,கண்டவர்,காண்,,
,,,வாய்,வழியே வருதல்?,வாய்,,
,,சொல்,சொல்,,சொல்,,
,,,,,,,
92,,அகனமர்ந்,அகன்,"அகம், உள்ளம்",அகம்,,
,0,,அமர்ந்து,விரும்பி? உள்ளத்தால் விரும்பி?,,,
,,தீதலி,ஈதலின்,"ஈதல் - கொடுத்தல், கொடை",ஈதல்,,
,,னன்றே,நன்றே,"நன்று, நல்லது",நன்று,,
,,முகனமர்ந்,முகன்,முகம்,முகம்,,
,0,,அமர்ந்து,,,,
,,தின்,இன்,இனிய,இனிமை,,
,,சொலனாகப்,சொலன்,,சொல்,,
,,,ஆகப்,,ஆகு,,
,,பெறின்,பெறின்,,பெறு,,
,,,,,,,
93,,முகத்தா,முகத்தான்,,முகம்,,
,0,னமர்ந்தினிது,அமர்ந்து,விரும்பி?,,,
,,,இனிது,இனிமையாக,இனிமை,,
,,நோக்கி,நோக்கி,,நோக்கு,,
,,யகத்தானா,அகத்தானாம்,,அகம்,,
,,மின்சொ,இன்சொல்,,இன்சொல்,,
,0,லினதே,இனதே,இடத்தே?,,,
,,யறம்,அறம்,,அறம்,,
,,,,,,,
94,,துன்புறூஉந்,துன்புறூஉம்,,துன்பம்,,
,0,துவ்வாமை,துவ்வாமை,வறுமை?,,,
,,யில்லாகும்,இல்,,இல்லை,,
,,,ஆகும்,,ஆகு,,
,0,யார்மாட்டும்,யார்,யார்மாட்டும் - எல்லாரிடத்திலும்?,யார்,,
,0,,மாட்டும்,இடத்தும்?,,,
,,மின்புறூஉ,இன்புறூஉம்,,இன்பம்,,
,,மின்சொ,இன்சொல்,,இன்சொல்,,
,,லவர்க்கு,அவர்க்கு,,அவர்,,
,,,,,,,
95,,பணிவுடைய,பணிவு,,பணிவு,,
,,,உடையன்,கொண்ட,உடை,,
,,னின்சொ,இன்சொலன்,இன்சொல் கூறுபவன்,இன்சொல்,,
,0,லனாத,ஆதல்,"ஆகுதல், இன்சொல் கூறுபவன் ஆகுதல்",,,
,,லொருவற்,ஒருவற்கு,,ஒருவர்,,
,0,கணியல்ல,அணி,"ஆபரணம், அழகு",அணி,,
,,,அல்ல,இல்லை,அல்ல,,
,0,மற்றுப்,மற்று,(அசைச்சொல்),மற்று,,
,,பிற,பிற,"ஏனைய, அதுவன்றி மற்றவை",பிற,,
,,,,,,,
96,0,அல்லவை,அல்லவை,,,,
,,தேய,தேய,குறைய,தேய்,தேய்தல்,
,,வறம்பெருகு,அறம்,,அறம்,,
,,,பெருகு,,பெருகு,,
,,நல்லவை,நல்லவை,,நல்ல,,
,0,நாடி,நாடி,,நாடுதல்,,
,,யினிய,இனிய,,இனிமை,,
,,சொலின்,சொலின்,,சொல்,,
,,,,,,,
97,0,நயனீன்று,நயன்,,,,
,0,,ஈன்று,"தந்து, கொடுத்து",,,
,,நன்றி,நன்றி,,நன்றி,,
,0,பயக்கும்,பயக்கும்,,,,
,,பயனீன்று,பயன்,,பயன்,,
,0,,ஈன்று,"தந்து, கொடுத்து",,,
,,பண்பிற்,பண்பில்,,பண்பு,,
,,றலைப்பிரியாச்,தலை,தலைபிரியாது - நீங்காத?,தலை,,
,,,பிரியா,பிரியாத,பிரி,,
,,சொல்,சொல்,,சொல்,,
,,,,,,,
98,0,சிறுமையு,சிறுமையுள்,,,,
,,ணீங்கிய,நீங்கிய,,நீங்கு,,
,,வின்சொன்,இன்சொல்,,இன்சொல்,,
,,மறுமையு,மறுமையும்,,மறுமை,,
,,மிம்மையு,இம்மையும்,,இம்மை,,
,,மின்பந்,இன்பம்,,இன்பம்,,
,,தரும்,தரும்,,தா,தருதல்,
,,,,,,,
99,,இன்சொலினி,இன்சொல்,,இன்சொல்,,
,,,இனிது,,இனிமை,,
,0,தீன்றல்,ஈன்றல்,தருதல்,,,
,,காண்பா,காண்பான்,காண்பவன்,காண்,,
,,னெவன்கொலோ,எவன்,,எவன்,,
,0,,கொலோ,,,,
,,வன்சொல்,வன்சொல்,வன்சொல் - வன்மையான சொல்,வன்சொல்,வன்மை,சொல்
,,வழங்கு,வழங்கு,,வழங்கு,,
,,வது,அது,,அது,,
,,,,,,,
100,,இனிய,இனிய,,இனிமை,,
,0,வுளவாக,உளவு,,,,
,0,,ஆக,,,,
,,வின்னாத,இன்னாத,,இன்னா,,
,,கூறல்,கூறல்,,கூறு,,
,,கனியிருப்பக்,கனி,,கனி,,
,,,இருப்ப,,இரு,,
,,காய்கவர்ந்,காய்,,காய்,,
,,,கவர்ந்து,,கவரு,,
,0,தற்று,அற்று,,,,
